Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.1,ldp,4,0.062400159744408934
lactose,chi2,flipping,0.1,ldp,4,0.03587593184238547
lactose,chi2,flipping,0.1,ldp,4,0.052260827121050735
lactose,chi2,flipping,0.1,ldp,5,0.04282037628683
lactose,chi2,flipping,0.1,ldp,5,0.03295837770678023
lactose,chi2,flipping,0.1,ldp,4,0.042265708200212915
lactose,chi2,flipping,0.1,ldp,4,0.0436523784167554
lactose,chi2,flipping,0.1,ldp,5,0.041711040113596054
lactose,chi2,flipping,0.1,ldp,5,0.031982161874334336
lactose,chi2,flipping,0.1,ldp,5,0.05406904508342203
lactose,chi2,flipping,0.1,ldp,5,0.04670305289314869
lactose,chi2,flipping,0.1,ldp,5,0.05087415690450836
lactose,chi2,flipping,0.1,ldp,5,0.0537917110401136
lactose,chi2,flipping,0.2,ldp,3,0.044037940379403895
lactose,chi2,flipping,0.2,ldp,3,0.040565718157181574
lactose,chi2,flipping,0.2,ldp,3,0.053184281842818426
lactose,chi2,flipping,0.2,ldp,3,0.05758807588075876
lactose,chi2,flipping,0.2,ldp,3,0.047086720867208776
lactose,chi2,flipping,0.2,ldp,3,0.05978997289972898
lactose,chi2,flipping,0.2,ldp,4,0.05005081300813008
lactose,chi2,flipping,0.2,ldp,4,0.057926829268292734
lactose,chi2,flipping,0.2,ldp,4,0.03497628726287261
lactose,chi2,flipping,0.2,ldp,4,0.049288617886178776
lactose,chi2,flipping,0.2,ldp,4,0.08003048780487809
lactose,chi2,flipping,0.2,ldp,4,0.05496273712737121
lactose,chi2,flipping,0.2,ldp,4,0.06402439024390238
lactose,chi2,flipping,0.2,ldp,5,0.052760840108400986
lactose,chi2,flipping,0.2,ldp,4,0.05479336043360439
lactose,chi2,flipping,0.2,ldp,5,0.03489159891598925
lactose,chi2,flipping,0.2,ldp,4,0.054454607046070524
lactose,chi2,flipping,0.2,ldp,4,0.043191056910569015
lactose,chi2,flipping,0.2,ldp,5,0.07444105691056901
lactose,chi2,flipping,0.2,ldp,5,0.06063685636856364
lactose,chi2,flipping,0.2,ldp,5,0.05267615176151763
lactose,chi2,flipping,0.2,ldp,5,0.028285907859078585
lactose,chi2,flipping,0.2,ldp,5,0.0835027100271003
lactose,chi2,flipping,0.2,ldp,5,0.0522527100271003
lactose,chi2,flipping,0.3,ldp,3,0.07660190865712346
lactose,chi2,flipping,0.3,ldp,3,0.07619717109747781
lactose,chi2,flipping,0.3,ldp,3,0.10114178595773693
lactose,chi2,flipping,0.3,ldp,3,0.050443081117927724
lactose,chi2,flipping,0.3,ldp,3,0.0827368779822768
lactose,chi2,flipping,0.3,ldp,4,0.1254473415132924
lactose,chi2,flipping,0.3,ldp,3,0.07417348329925022
lactose,chi2,flipping,0.3,ldp,4,0.0690184049079755
lactose,chi2,flipping,0.3,ldp,4,0.0941973415132924
lactose,chi2,flipping,0.3,ldp,4,0.09106595092024539
lactose,chi2,flipping,0.3,ldp,4,0.05536383776414455
lactose,chi2,flipping,0.3,ldp,4,0.0784551806407634
lactose,chi2,flipping,0.3,ldp,4,0.11809815950920244
lactose,chi2,flipping,0.3,ldp,5,0.07006220177232447
lactose,chi2,flipping,0.3,ldp,4,0.0810540218132243
lactose,chi2,flipping,0.3,ldp,5,0.09500681663258359
lactose,chi2,flipping,0.3,ldp,4,0.08806237218813906
lactose,chi2,flipping,0.3,ldp,5,0.10704243353783227
lactose,chi2,flipping,0.3,ldp,4,0.08088360599863664
lactose,chi2,flipping,0.3,ldp,5,0.05964553510565784
lactose,chi2,flipping,0.3,ldp,5,0.09743524199045672
lactose,chi2,flipping,0.3,ldp,5,0.09743524199045672
lactose,chi2,flipping,0.3,ldp,5,0.08840320381731426
lactose,chi2,flipping,0.3,ldp,5,0.09396301976823451
lactose,chi2,flipping,0.4,ldp,3,0.14823232323232327
lactose,chi2,flipping,0.4,ldp,3,0.13263888888888886
lactose,chi2,flipping,0.4,ldp,3,0.12095959595959604
lactose,chi2,flipping,0.4,ldp,3,0.13737373737373737
lactose,chi2,flipping,0.4,ldp,3,0.1118686868686869
lactose,chi2,flipping,0.4,ldp,4,0.1452651515151515
lactose,chi2,flipping,0.4,ldp,3,0.10921717171717171
lactose,chi2,flipping,0.4,ldp,4,0.14128787878787874
lactose,chi2,flipping,0.4,ldp,4,0.15397727272727268
lactose,chi2,flipping,0.4,ldp,4,0.12272727272727268
lactose,chi2,flipping,0.4,ldp,4,0.07241161616161618
lactose,chi2,flipping,0.4,ldp,4,0.13478535353535348
lactose,chi2,flipping,0.4,ldp,4,0.13787878787878793
lactose,chi2,flipping,0.4,ldp,5,0.147790404040404
lactose,chi2,flipping,0.4,ldp,5,0.13308080808080813
lactose,chi2,flipping,0.4,ldp,4,0.13188131313131313
lactose,chi2,flipping,0.4,ldp,4,0.12916666666666665
lactose,chi2,flipping,0.4,ldp,5,0.12828282828282822
lactose,chi2,flipping,0.4,ldp,5,0.12405303030303028
lactose,chi2,flipping,0.4,ldp,4,0.1525883838383838
lactose,chi2,flipping,0.4,ldp,5,0.11755050505050502
lactose,chi2,flipping,0.4,ldp,5,0.1478535353535353
lactose,chi2,flipping,0.4,ldp,5,0.18775252525252528
lactose,chi2,flipping,0.4,ldp,5,0.13529040404040404
lactose,chi2,flipping,0.5,ldp,3,0.1062768569674648
lactose,chi2,flipping,0.5,ldp,3,0.09175491098833632
