Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.12967995169082125
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.25286835748792263
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.28955314009661837
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.09993961352657005
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.09918478260869568
lactose,chi2,flipping,0.6,proposed_dp_maf,0.1,0.10537439613526567
lactose,chi2,flipping,0.6,proposed_dp_maf,0.5,0.2771739130434782
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.28065898345153667
lactose,chi2,flipping,0.7,proposed_dp_maf,1.0,0.32638888888888895
lactose,chi2,flipping,0.7,proposed_dp_maf,1.0,0.2833185579196218
lactose,chi2,flipping,0.7,proposed_dp_maf,1.0,0.29247931442080377
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.29536052009456265
lactose,chi2,flipping,0.7,proposed_dp_maf,1.0,0.35416666666666663
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14819739952718675
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.3092494089834515
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.13667257683215123
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14819739952718675
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14819739952718675
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.28996749408983447
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.3191489361702128
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.30149231678487004
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.28981973995271865
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14849290780141838
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.17752659574468083
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.3063682033096926
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.3071808510638298
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.12056737588652483
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14819739952718675
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.13903664302600466
lactose,chi2,flipping,0.7,proposed_dp_maf,0.1,0.14960106382978727
lactose,chi2,flipping,0.7,proposed_dp_maf,0.5,0.3306737588652482
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.3479920814479638
lactose,chi2,flipping,0.8,proposed_dp_maf,1.0,0.3585658622423329
lactose,chi2,flipping,0.8,proposed_dp_maf,1.0,0.3499402966314732
lactose,chi2,flipping,0.8,proposed_dp_maf,1.0,0.35930429864253394
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.3837669683257918
lactose,chi2,flipping,0.8,proposed_dp_maf,1.0,0.39765585721468066
lactose,chi2,flipping,0.8,proposed_dp_maf,0.1,0.17398818501759677
lactose,chi2,flipping,0.8,proposed_dp_maf,0.1,0.1397373051784816
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.3772938662644545
lactose,chi2,flipping,0.8,proposed_dp_maf,0.1,0.1807755153343389
lactose,chi2,flipping,0.8,proposed_dp_maf,0.1,0.16946329813976874
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.3436243086978381
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.36777275012569133
lactose,chi2,flipping,0.8,proposed_dp_maf,0.5,0.3618809703368526
